"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_events_8k","sample",1,4124,2426847.224054,13970.895151,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_site_1k","sample",1,37076,269677.536735,1244.522429,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_site_2k","sample",1,21237,470726.102557,1771.042803,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_site_4k","sample",1,11403,876749.554328,4978.824177,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_site_64k","sample",1,637,15840653.061224,115811.519818,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.deserialization_site_8k","sample",1,5598,1787177.431940,9798.706227,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_events_1k","sample",1,22610,442105.795312,1830.564431,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_events_2k","sample",1,11525,867692.819436,3793.561112,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_events_4k","sample",1,5733,1745063.898134,7946.281022,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_events_64k","sample",1,267,38035916.224719,387294.191579,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_events_8k","sample",1,2665,3757370.692683,24509.247396,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_site_1k","sample",1,29522,338666.876228,1294.340671,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_site_2k","sample",1,16364,610877.762894,2600.411557,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_site_4k","sample",1,8575,1167270.914985,5485.980498,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_site_64k","sample",1,463,21733606.012959,283673.076137,"ns/op"
"com.komanov.serialization.jmh.ScroogeBenchmark.serialization_site_8k","sample",1,4308,2323022.440111,12469.454316,"ns/op"
